sample,gem,gc,ri,np.obs,np.2,size.cat,geo,j.w1,db.ft,s.ft,db.v,s.v,db.rs,s.rs,db.ft232,s.ft232,db.ft235,s.ft235,db.ft147,s.ft147,corr.ft,residual.ft,percent_diff.ft,corr.ft147,residual.ft147,percent_diff.ft147,corr.ft232,residual.ft232,percent_diff.ft232,corr.ft235,residual.ft235,percent_diff.ft235,corr.rs,residual.rs,percent_diff.rs,corr.v,residual.v,percent_diff.v,slope.ft,slope.ft147,slope.ft232,slope.ft235,slope.rs,slope.v
"DCA,1a,2",B2,B,2,term2,term2,rare- small,hexagonal,43.3,0.439921,0.49078959474727624,100726,117921.42626938806,23.42143097820177,25.137180164900144,0.355181,0.4099431964673977,0.365977,0.4202873069414316,0.809657,0.8279439739635017,1.0183394436458395,0.04280068835915485,8.720781535964376,1.0062030649061704,0.01326461904076659,1.602115536546116,1.0224567555448398,0.046785983576225876,11.412796694613936,1.0219651105458702,0.04627158167918566,11.009512044491448,1.010768143576481,1.4635438551584556,5.8222276546438145,1.1990861308192997,-2857.723343516729,-2.423413143755863,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"DCA,1a,3",A1,A,1,term1,term2,rare- small,hexagonal,49.6,0.462953,0.5517547941198956,132660,211868.10006235822,24.601771006274348,28.976903026905088,0.383136,0.478837780230364,0.393202,0.4882060340796539,0.816299,0.850151178145031,1.0183394436458395,0.08031149366572327,14.555649451823646,1.0062030649061704,0.028788622465189095,3.386294485647107,1.0224567555448398,0.08709778873793628,18.189414522812804,1.0219651105458702,0.08636730868279663,17.690749940363347,1.010768143576481,4.11021661819947,14.184457926311616,1.1990861308192997,52797.33394786992,24.919907212237383,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"C50,1a,4",B1,B,1,term2,term2,rare- small,hexagonal,46.6,0.466287,0.502488037918765,98325.5,108302.44462900137,24.735216138219165,25.748853716432762,0.383026,0.4231794687135475,0.393582,0.4333367324000114,0.819608,0.8320573310370031,1.0183394436458395,0.027649593759477398,5.502537706966745,1.0062030649061704,0.007365249415386521,0.8851853280599213,1.0224567555448398,0.03155194746422968,7.455925865247344,1.0219651105458702,0.0311096602611467,7.179096055127284,1.010768143576481,0.747285219441963,2.902207716396517,1.1990861308192997,-9598.298726871682,-8.862494987764512,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"C50,1a,5",B1,B,1,term2,term2,rare- small,hexagonal,45.7,0.502034,0.5190337666146057,147173,149540.3702059053,26.749884304391554,26.807606191072683,0.423037,0.4417652555292375,0.433463,0.45167120418297557,0.832794,0.838339338029082,1.0183394436458395,0.00779274236331029,1.5013941027649127,1.0062030649061704,3.7946279361267266e-4,0.0452636273164494,1.0224567555448398,0.0092282170338151,2.088941336674302,1.0219651105458702,0.008687141470431037,1.9233330329625813,1.010768143576481,-0.23032470816281503,-0.8591767072418292,1.1990861308192997,-26932.732925163495,-18.010342550362317,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"DCA,1a,7",A1,A,1,term2,term2,rare- small,hexagonal,48,0.514585,0.5379730445594201,164914,167268.07962193494,27.529439424406824,28.023143833162948,0.437652,0.46320666676148,0.447353,0.47280402000170885,0.837857,0.8451846288877535,1.0183394436458395,0.013950841950925774,2.593223227820084,1.0062030649061704,0.0021303475346643452,0.2520570608895054,1.0224567555448398,0.015726422783769733,3.395120129362856,1.0219651105458702,0.015624861903682175,3.3047227271091524,1.010768143576481,0.19726345245407373,0.7039304855604018,1.1990861308192997,-30478.010555999062,-18.22105605856569,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"MM,1a,8",B1,B,1,term2,term2,rare- small,hexagonal,47,0.476623,0.5015319979730495,97860.2,104759.27945255041,25.31056543441608,25.684456584507963,0.396316,0.42210767164517027,0.406503,0.43227951641952755,0.817889,0.8316748605834954,1.0183394436458395,0.016167997324238514,3.223721993727571,1.0062030649061704,0.008712442030452627,1.0475778989327702,1.0224567555448398,0.016891700114661512,4.001751507814555,1.0219651105458702,0.01684763308729964,3.8973933409671444,1.010768143576481,0.10134334749217189,0.3945707286378756,1.1990861308192997,-12583.529126652415,-12.011851544236697,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"MM,1a,9",A2,A,2,term1,term2,rare- small,hexagonal,45.1,0.378707,0.4718154109039258,63817.8,101767.32630163824,20.802341314658136,24.046503814602136,0.294477,0.38868130706761767,0.304648,0.39930724087276587,0.776258,0.8206271309750558,1.0183394436458395,0.08616313521914087,18.262043423733353,1.0062030649061704,0.03955395221712177,4.819966428617149,1.0224567555448398,0.08759130906503987,22.535508518757215,1.0219651105458702,0.08796761387518759,22.030057276927103,1.010768143576481,3.020159901940797,12.559663247622794,1.1990861308192997,25244.287422238325,24.80588646636376,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"MM,1a,10",A1,A,1,term1,term2,rare- small,hexagonal,46.1,0.449073,0.4440647988765809,75850.1,83724.07232395918,23.881539699558438,22.663603826917615,0.366557,0.35744230531991517,0.376768,0.3684990476210116,0.809227,0.8101859054046681,1.0183394436458395,-0.013243950099787183,-2.982436377144156,1.0062030649061704,-0.004060782200157487,-0.5012161002886399,1.0224567555448398,-0.01734637562233471,-4.852916222887913,1.0219651105458702,-0.01654470314913481,-4.489754656340512,1.010768143576481,-1.4750957209530995,-6.508654723310707,1.1990861308192997,-7226.730607297795,-8.63160427664689,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"16MFS05,1a1,1",B1,B,1,term1,term2,rare- small,hexagonal,44.4,0.406293,0.4382937430778566,65579.6,80561.38326124927,21.94166945678414,22.400083013020108,0.324077,0.35106296894249045,0.334028,0.36218973414632893,0.789019,0.8079989805398805,1.0183394436458395,0.024549555500657516,5.601164946654654,1.0062030649061704,0.014085644470678838,1.7432750300337303,1.0224567555448398,0.01970825097578538,5.613879195277328,1.0219651105458702,0.020824772200913,5.749685934637657,1.010768143576481,0.22214250921762613,0.9917039552420641,1.1990861308192997,1925.7944365719159,2.390468433649947,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"16MFS05,1a1,2",A2,A,2,term2,term2,rare- small,hexagonal,47.5,0.463658,0.47484281640954995,79522,78265.3754811147,24.602046613827145,24.184177368495305,0.380527,0.39203068880215086,0.391178,0.4026210723189959,0.814975,0.821696784443166,1.0183394436458395,0.002681586647607259,0.5647314342635863,1.0062030649061704,0.0016664416212597288,0.20280493398656974,1.0224567555448398,0.0029582869849396065,0.7546059707668927,1.0219651105458702,0.0028508043058834698,0.7080613762870273,1.010768143576481,-0.6827876155448109,-2.8232823682242647,1.1990861308192997,-17088.351813897665,-21.833859109282695,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
